"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","01-March-2021","5.0","AGGREGATED","100.0","","","","23.2","AGGREGATED","100.0","243.1","AGGREGATED","100.0"
"Calgary Int'L CS","02-March-2021","1.7","AGGREGATED","100.0","","","","9.1","AGGREGATED","100.0","221.9","AGGREGATED","100.0"
"Calgary Int'L CS","03-March-2021","2.0","AGGREGATED","100.0","","","","9.0","AGGREGATED","100.0","172.2","AGGREGATED","100.0"
"Calgary Int'L CS","04-March-2021","1.7","AGGREGATED","100.0","","","","6.1","AGGREGATED","100.0","223.4","AGGREGATED","100.0"
"Calgary Int'L CS","05-March-2021","5.0","AGGREGATED","100.0","","","","14.3","AGGREGATED","100.0","193.6","AGGREGATED","100.0"
"Calgary Int'L CS","06-March-2021","2.1","AGGREGATED","100.0","","","","14.9","AGGREGATED","100.0","208.0","AGGREGATED","100.0"
"Calgary Int'L CS","07-March-2021","0.7","AGGREGATED","100.0","","","","10.8","AGGREGATED","100.0","227.8","AGGREGATED","100.0"
"Calgary Int'L CS","08-March-2021","0.5","AGGREGATED","100.0","","","","13.0","AGGREGATED","100.0","7.3","AGGREGATED","100.0"
"Calgary Int'L CS","09-March-2021","-0.8","AGGREGATED","100.0","","","","10.0","AGGREGATED","100.0","195.1","AGGREGATED","100.0"
"Calgary Int'L CS","10-March-2021","-5.3","AGGREGATED","100.0","","","","16.7","AGGREGATED","100.0","7.7","AGGREGATED","100.0"
"Calgary Int'L CS","11-March-2021","-4.6","AGGREGATED","100.0","","","","10.2","AGGREGATED","100.0","184.2","AGGREGATED","100.0"
"Calgary Int'L CS","12-March-2021","5.9","AGGREGATED","100.0","","","","9.5","AGGREGATED","100.0","292.5","AGGREGATED","100.0"
"Calgary Int'L CS","13-March-2021","5.3","AGGREGATED","100.0","","","","13.1","AGGREGATED","100.0","186.2","AGGREGATED","100.0"
"Calgary Int'L CS","14-March-2021","7.3","AGGREGATED","100.0","","","","13.5","AGGREGATED","100.0","197.0","AGGREGATED","100.0"
"Calgary Int'L CS","15-March-2021","1.4","AGGREGATED","100.0","","","","19.3","AGGREGATED","100.0","7.9","AGGREGATED","100.0"
"Calgary Int'L CS","16-March-2021","-0.1","AGGREGATED","100.0","","","","8.9","AGGREGATED","100.0","102.0","AGGREGATED","100.0"
"Calgary Int'L CS","17-March-2021","1.6","AGGREGATED","100.0","","","","9.2","AGGREGATED","100.0","192.8","AGGREGATED","100.0"
"Calgary Int'L CS","18-March-2021","6.1","AGGREGATED","100.0","","","","10.0","AGGREGATED","100.0","208.8","AGGREGATED","100.0"
"Calgary Int'L CS","19-March-2021","7.9","AGGREGATED","100.0","","","","20.5","AGGREGATED","100.0","242.8","AGGREGATED","100.0"
"Calgary Int'L CS","20-March-2021","4.4","AGGREGATED","100.0","","","","19.0","AGGREGATED","100.0","271.9","AGGREGATED","100.0"
"Calgary Int'L CS","21-March-2021","1.0","AGGREGATED","100.0","","","","16.1","AGGREGATED","100.0","181.7","AGGREGATED","100.0"
"Calgary Int'L CS","22-March-2021","2.5","AGGREGATED","100.0","","","","19.9","AGGREGATED","100.0","337.5","AGGREGATED","100.0"
"Calgary Int'L CS","23-March-2021","-0.3","AGGREGATED","100.0","","","","12.2","AGGREGATED","100.0","228.1","AGGREGATED","100.0"
"Calgary Int'L CS","24-March-2021","3.8","AGGREGATED","100.0","","","","17.1","AGGREGATED","100.0","289.7","AGGREGATED","100.0"
"Calgary Int'L CS","25-March-2021","-4.2","AGGREGATED","100.0","","","","12.6","AGGREGATED","100.0","36.7","AGGREGATED","100.0"
"Calgary Int'L CS","26-March-2021","-1.9","AGGREGATED","100.0","","","","8.5","AGGREGATED","100.0","112.8","AGGREGATED","100.0"
"Calgary Int'L CS","27-March-2021","3.8","AGGREGATED","100.0","","","","13.3","AGGREGATED","100.0","209.5","AGGREGATED","100.0"
"Calgary Int'L CS","28-March-2021","7.5","AGGREGATED","100.0","","","","27.9","AGGREGATED","100.0","249.6","AGGREGATED","100.0"
"Calgary Int'L CS","29-March-2021","-6.2","AGGREGATED","100.0","","","","42.7","AGGREGATED","100.0","347.5","AGGREGATED","100.0"
"Calgary Int'L CS","30-March-2021","-3.1","AGGREGATED","100.0","","","","17.4","AGGREGATED","100.0","278.9","AGGREGATED","100.0"
"Calgary Int'L CS","31-March-2021","5.0","AGGREGATED","100.0","","","","22.1","AGGREGATED","100.0","259.2","AGGREGATED","100.0"
"Calgary Int'L CS","01-April-2021","7.5","AGGREGATED","100.0","","","","22.4","AGGREGATED","100.0","229.9","AGGREGATED","100.0"
"Calgary Int'L CS","02-April-2021","4.2","AGGREGATED","100.0","","","","12.8","AGGREGATED","100.0","124.9","AGGREGATED","100.0"
"Calgary Int'L CS","03-April-2021","5.5","AGGREGATED","100.0","","","","10.5","AGGREGATED","100.0","59.0","AGGREGATED","100.0"
"Calgary Int'L CS","04-April-2021","1.9","AGGREGATED","100.0","","","","15.1","AGGREGATED","100.0","329.5","AGGREGATED","100.0"
"Calgary Int'L CS","05-April-2021","3.2","AGGREGATED","100.0","","","","8.2","AGGREGATED","100.0","212.2","AGGREGATED","100.0"
"Calgary Int'L CS","06-April-2021","6.7","AGGREGATED","100.0","","","","12.6","AGGREGATED","100.0","296.4","AGGREGATED","100.0"
"Calgary Int'L CS","07-April-2021","7.6","AGGREGATED","100.0","","","","15.0","AGGREGATED","100.0","247.6","AGGREGATED","100.0"
"Calgary Int'L CS","08-April-2021","1.8","AGGREGATED","100.0","","","","20.6","AGGREGATED","100.0","343.0","AGGREGATED","100.0"
"Calgary Int'L CS","09-April-2021","2.4","AGGREGATED","100.0","","","","15.4","AGGREGATED","100.0","230.0","AGGREGATED","100.0"
"Calgary Int'L CS","10-April-2021","1.5","AGGREGATED","100.0","","","","22.0","AGGREGATED","100.0","317.6","AGGREGATED","100.0"
"Calgary Int'L CS","11-April-2021","-0.5","AGGREGATED","100.0","","","","17.7","AGGREGATED","100.0","15.3","AGGREGATED","100.0"
"Calgary Int'L CS","12-April-2021","-1.2","AGGREGATED","100.0","","","","11.9","AGGREGATED","100.0","31.8","AGGREGATED","100.0"
"Calgary Int'L CS","13-April-2021","-0.8","AGGREGATED","100.0","","","","9.2","AGGREGATED","100.0","201.3","AGGREGATED","100.0"
"Calgary Int'L CS","14-April-2021","3.6","AGGREGATED","100.0","","","","10.1","AGGREGATED","100.0","179.8","AGGREGATED","100.0"
"Calgary Int'L CS","15-April-2021","5.8","AGGREGATED","100.0","","","","10.9","AGGREGATED","100.0","15.5","AGGREGATED","100.0"
"Calgary Int'L CS","16-April-2021","7.5","AGGREGATED","100.0","","","","6.2","AGGREGATED","100.0","330.0","AGGREGATED","100.0"
"Calgary Int'L CS","17-April-2021","9.8","AGGREGATED","100.0","","","","10.0","AGGREGATED","100.0","349.5","AGGREGATED","100.0"
"Calgary Int'L CS","18-April-2021","0.0","AGGREGATED","100.0","","","","19.3","AGGREGATED","100.0","5.7","AGGREGATED","100.0"
"Calgary Int'L CS","19-April-2021","0.1","AGGREGATED","100.0","","","","18.8","AGGREGATED","100.0","342.7","AGGREGATED","100.0"
"Calgary Int'L CS","20-April-2021","3.0","AGGREGATED","100.0","","","","9.4","AGGREGATED","100.0","234.7","AGGREGATED","100.0"
"Calgary Int'L CS","21-April-2021","9.6","AGGREGATED","100.0","","","","14.7","AGGREGATED","100.0","230.6","AGGREGATED","100.0"
"Calgary Int'L CS","22-April-2021","-1.1","AGGREGATED","100.0","","","","26.5","AGGREGATED","100.0","13.6","AGGREGATED","100.0"
"Calgary Int'L CS","23-April-2021","-2.1","AGGREGATED","100.0","","","","8.2","AGGREGATED","100.0","147.1","AGGREGATED","100.0"
"Calgary Int'L CS","24-April-2021","0.1","AGGREGATED","100.0","","","","9.9","AGGREGATED","100.0","167.4","AGGREGATED","100.0"
"Calgary Int'L CS","25-April-2021","0.6","AGGREGATED","100.0","","","","8.0","AGGREGATED","100.0","147.6","AGGREGATED","100.0"
"Calgary Int'L CS","26-April-2021","5.7","AGGREGATED","100.0","","","","14.0","AGGREGATED","100.0","258.7","AGGREGATED","100.0"
"Calgary Int'L CS","27-April-2021","7.9","AGGREGATED","100.0","","","","17.3","AGGREGATED","100.0","355.7","AGGREGATED","100.0"
"Calgary Int'L CS","28-April-2021","8.7","AGGREGATED","100.0","","","","17.7","AGGREGATED","100.0","268.3","AGGREGATED","100.0"
"Calgary Int'L CS","29-April-2021","11.9","AGGREGATED","100.0","","","","13.9","AGGREGATED","100.0","244.4","AGGREGATED","100.0"
"Calgary Int'L CS","30-April-2021","15.2","AGGREGATED","100.0","","","","21.2","AGGREGATED","100.0","269.2","AGGREGATED","100.0"
"Calgary Int'L CS","01-May-2021","6.7","AGGREGATED","100.0","","","","16.3","AGGREGATED","100.0","348.7","AGGREGATED","100.0"
"Calgary Int'L CS","02-May-2021","4.9","AGGREGATED","100.0","","","","17.6","AGGREGATED","100.0","335.1","AGGREGATED","100.0"
"Calgary Int'L CS","03-May-2021","6.0","AGGREGATED","100.0","","","","9.8","AGGREGATED","100.0","177.4","AGGREGATED","100.0"
"Calgary Int'L CS","04-May-2021","6.2","AGGREGATED","100.0","","","","12.7","AGGREGATED","100.0","359.7","AGGREGATED","100.0"
"Calgary Int'L CS","05-May-2021","7.2","AGGREGATED","100.0","","","","11.0","AGGREGATED","100.0","358.5","AGGREGATED","100.0"
"Calgary Int'L CS","06-May-2021","11.3","AGGREGATED","100.0","","","","24.4","AGGREGATED","100.0","159.1","AGGREGATED","100.0"
"Calgary Int'L CS","07-May-2021","10.1","AGGREGATED","100.0","","","","15.0","AGGREGATED","100.0","135.3","AGGREGATED","100.0"
"Calgary Int'L CS","08-May-2021","2.4","AGGREGATED","100.0","","","","28.8","AGGREGATED","100.0","354.7","AGGREGATED","100.0"
"Calgary Int'L CS","09-May-2021","1.6","AGGREGATED","100.0","","","","11.6","AGGREGATED","100.0","16.9","AGGREGATED","100.0"
"Calgary Int'L CS","10-May-2021","5.6","AGGREGATED","100.0","","","","11.0","AGGREGATED","100.0","167.7","AGGREGATED","100.0"
"Calgary Int'L CS","11-May-2021","7.8","AGGREGATED","100.0","","","","15.3","AGGREGATED","100.0","344.4","AGGREGATED","100.0"
"Calgary Int'L CS","12-May-2021","9.6","AGGREGATED","100.0","","","","8.9","AGGREGATED","100.0","210.5","AGGREGATED","100.0"
"Calgary Int'L CS","13-May-2021","11.0","AGGREGATED","100.0","","","","13.6","AGGREGATED","100.0","7.2","AGGREGATED","100.0"
